online, offline, global 
0.056528, 3.74624, 7.46596 
0.056528, 3.74631, 7.46591 
0.056528, 3.74633, 7.46599 
0.056528, 3.7462, 7.46601 
0.056528, 3.74623, 7.46593 
0.056528, 3.74623, 7.46597 
0.056528, 3.74619, 7.46596 
0.056528, 3.7462, 7.46594 
0.056528, 3.74625, 7.46598 
0.056528, 3.74625, 7.46597 
