online, offline, total 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
169.0, 54.0, 223.0 
