online, offline, cpu 
1.27306, 20.5462, 9.33428  
1.68753, 19.7921, 10.2988  
1.51969, 20.4985, 9.89004  
1.55238, 20.1515, 10.0867  
1.71233, 19.7561, 10.178  
1.39146, 20.9429, 9.81765  
1.67117, 20.0721, 10.3603  
1.39364, 19.8792, 9.78522  
1.49099, 19.8178, 9.84224  
1.48502, 20.5198, 10.4542  
