online, offline, cpu 
1.20434, 10.9402, 4.60947  
1.20475, 11.0189, 4.4171  
1.22829, 10.9773, 4.52204  
1.1908, 11.0102, 4.49666  
1.14948, 11.0083, 4.35691  
1.21632, 11.0345, 4.61736  
1.10822, 11.0475, 4.4873  
1.16915, 10.9943, 4.66884  
1.12336, 11.1016, 4.55371  
1.12188, 10.9751, 4.48258  
