online, offline, cpu 
0.639118, 4.53958, 1.95201  
0.620797, 4.31795, 1.80392  
0.633502, 4.44919, 1.88619  
0.663074, 4.47208, 1.81355  
0.617024, 4.44489, 1.73998  
0.653303, 4.55529, 1.96893  
0.631915, 4.27805, 1.81784  
0.681458, 4.57349, 1.99813  
0.651021, 4.43881, 1.88624  
0.681782, 4.29583, 1.80805  
