online, offline, cpu 
0.77883, 59.2808, 44.7906  
1.00092, 62.451, 47.4312  
0.952342, 61.6902, 47.8738  
0.722926, 62.3559, 50.5596  
0.777427, 59.6979, 44.7935  
0.84147, 61.5565, 48.9883  
0.714393, 61.3389, 49.5025  
0.774143, 61.6691, 50.0199  
0.695434, 63.4229, 47.4569  
0.716941, 61.9831, 48.4028  
