online, offline, cpu 
0.680111, 18.4286, 6.25383  
0.647197, 18.2279, 5.52561  
0.64471, 18.4915, 5.9502  
0.662738, 18.6273, 6.22007  
0.665864, 18.4909, 6.11125  
0.658082, 18.5767, 5.98617  
0.66203, 18.521, 6.12059  
0.656594, 18.5819, 6.01616  
0.660582, 18.5275, 5.92017  
0.668333, 18.4993, 6.01406  
