online, offline, total 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
779.0, 40.0, 843.0 
