online, offline, total 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
38.0, 6.0, 44.0 
