online, offline, global 
0.624176, 53.682, 154.782 
0.624176, 53.6822, 154.783 
0.624176, 53.6824, 154.783 
0.624176, 53.6823, 154.783 
0.624176, 53.6823, 154.783 
0.624176, 53.6819, 154.782 
0.624176, 53.6824, 154.783 
0.624176, 53.6824, 154.783 
0.624176, 53.6826, 154.783 
0.624176, 53.6823, 154.783 
