online, offline, cpu 
7.26801, 525.144, 253.098  
2.49021, 568.978, 249.865  
1.48483, 582.197, 240.419  
5.16843, 532.188, 251.981  
9.21001, 542.354, 246.479  
14.8579, 519.177, 244.926  
4.74879, 538.43, 249.08  
3.08881, 548.818, 247.798  
1.55406, 571.968, 250.395  
6.41512, 561.958, 251.894  
