online, offline, cpu 
1.91082, 28.6064, 20.4996  
1.91804, 28.077, 19.341  
1.93478, 28.0818, 19.8011  
1.9438, 26.699, 18.7915  
1.93582, 28.2662, 20.087  
1.92598, 28.4084, 20.022  
1.92829, 28.2173, 19.7373  
1.927, 28.8607, 19.5383  
1.92396, 28.3031, 19.5896  
1.91244, 27.6812, 19.7016  
